state_code,year,indicator,value,unit,source
10,2023,population_density,394.3,people_per_km2,Bundeswahlleiterin structural data 2025
10,2023,natural_population_change,-6.7,per_1000_people,Bundeswahlleiterin structural data 2025
10,2022,net_migration,18.0,per_1000_people,Bundeswahlleiterin structural data 2025
10,2023,age_under_18_share,15.5,percent,Bundeswahlleiterin structural data 2025
10,2023,age_60_74_share,22.1,percent,Bundeswahlleiterin structural data 2025
10,2023,age_75_plus_share,11.6,percent,Bundeswahlleiterin structural data 2025
10,2021,disposable_income_per_capita,22370,eur_per_person,Bundeswahlleiterin structural data 2025
10,2021,gdp_per_capita,36730,eur_per_person,Bundeswahlleiterin structural data 2025
10,2023,employees_subject_to_social_insurance,387.0,per_1000_people,Bundeswahlleiterin structural data 2025
10,2024,social_benefit_recipients,84.3,per_1000_people,Bundeswahlleiterin structural data 2025
10,2024,unemployment_rate,7.0,percent,Bundeswahlleiterin structural data 2025
