election_date,state_code,party,votes,vote_share_percent,previous_votes,previous_vote_share_percent,change_percentage_points
2025-02-23,08,Team Todenhöfer,,,26780,0.45011,-0.45011
2025-02-23,08,MENSCHLICHE WELT,,,,,
2025-02-23,08,PdH,,,6775,0.113872,-0.113872
2025-02-23,08,Verjüngungsforschung,,,7059,0.118645,-0.118645
2025-02-23,08,PIRATEN,,,21530,0.361869,-0.361869
2025-02-23,10,SPD,131136,21.866095,213777,37.264934,-15.398839
2025-02-23,10,CDU,161113,26.864569,135134,23.556134,3.308436
2025-02-23,10,FDP,25725,4.28948,65945,11.495325,-7.205845
2025-02-23,10,AfD,129294,21.558953,57629,10.045706,11.513247
2025-02-23,10,Die Linke,44080,7.35006,41130,7.169652,0.180408
2025-02-23,10,Tierschutzpartei,12263,2.044777,16231,2.829337,-0.784559
2025-02-23,10,FREIE WÄHLER,8476,1.413319,11746,2.047526,-0.634207
2025-02-23,10,Volt,3720,0.620286,4019,0.700579,-0.080293
2025-02-23,10,PIRATEN,1753,0.292302,3419,0.595989,-0.303688
2025-02-23,10,MLPD,304,0.05069,357,0.062231,-0.011541
2025-02-23,10,BÜNDNIS DEUTSCHLAND,1487,0.247948,,,
2025-02-23,10,GRÜNE,43371,7.231839,,,
2025-02-23,10,BSW,37001,6.169682,,,
2025-02-23,10,dieBasis,,,8116,1.414756,-1.414756
2025-02-23,10,Team Todenhöfer,,,2281,0.397617,-0.397617
2025-02-23,10,ÖDP,,,2531,0.441196,-0.441196
2025-02-23,10,Die PARTEI,,,9978,1.739334,-1.739334
